小米游戏本 金属轻薄 15.6英寸（第九代英特尔酷睿i5-9300H 8G 512G PCIe SSD GTX 1660Ti 6G独显 72%NTSC高色域 144Hz）深空灰色 游戏笔记本电脑【9月开学季爆款好价！】电竞级GTX1660Ti显卡+i5标压处理器！144Hz高刷新率电竞大屏！9月开学季促销》,5999.00,小米京东自营旗舰店
华为(HUAWEI)MateBook D 15全面屏轻薄笔记本电脑多屏协同便携超级快充(十代酷睿i5 8G+512G 独显)银9.23华为京东超级品牌日到手仅：4688元高清全面屏，轻薄便携超级快充，远程协同办公，实现畅爽娱乐办公新体验！更多精彩请点击,4699.00,华为京东自营官方旗舰店
华硕(ASUS) 天选 15.6英寸游戏笔记本电脑(新锐龙 7nm R5-4600H 16G 512GSSD GTX1650Ti 4G 144Hz)元气蓝,6299.00,华硕京东自营官方旗舰店
"ROG魔霸4Plus 十代8核英特尔酷睿i7 17.3英寸液金导热240Hz电竞屏游戏笔记本电脑(i7-10875H 16G 1T RTX2060)【9月21日ROG品牌钜惠】咨询客服下单有礼！十代i7,8核16线程,240Hz电竞大屏,RTX2060显卡,晒单送背包详情咨询客服》",12969.00,玩家国度ROG京东自营官方旗舰店
京品电脑联想（Lenovo）威6 Pro 英特尔酷睿 i5 14英寸轻薄窄边框笔记本电脑(i5 8G 512GSSD R540X 2G独显 一键登录)太空灰【PCIE固态硬盘1.5kg轻薄本】学生网课学习轻薄本、长待机、快速充电，指纹登陆,4099.00,联想扬天京东自营旗舰店
宏碁(Acer)新蜂鸟3 移动超能版 3:2生产力 新MX350 2020款全面屏轻薄高性能笔记本电脑(i5/8G/512G/Win10)银【秒杀预告：限时直降230元，到手4369元，晒单送单肩手提包】镁合金IPS屏轻薄本，轻至1.19kg，独显WIFI6长续航，72%NTSC色域立即抢购(此商品不参加上述活动),4499.00,宏碁京东自营旗舰店
Apple苹果 新款MacBook Pro13.3英寸超薄笔记本电脑支持Air drop 20款 标配 256G 灰色【新品上市】2020新款，全国多仓速发，极速到达，抢券立减50元！点此前往~,10188.00,APPLE翔合专卖店
华为笔记本 MateBook 13 2020款13英寸轻薄笔记本电脑超薄本办公商务本 银｜锐龙R7-4800H/16G/512G/集显 标配【热销爆款】锐龙六核标压轻薄本可选！送无线鼠标+包等！【直播间领好礼】【14英寸触屏款仅5599元】,5299.00,华为肆玖专卖店
苹果Apple MacBook Air 2020新款13.3英寸苹果笔记本电脑超薄轻薄本【原装正品】 银色 【2017款】i5/8G/128G 官方标配,5499.00,Apple爱豆专卖店
微软Surface Pro 7 二合一平板 超轻薄触控笔记本 | 12.3英寸 十代酷睿i5 8G 128G SSD 亮铂金2.7K+3:2高色域触屏，十代i5高效静音，775克轻薄办公平板，支持TF卡扩容。,6988.00,微软京东自营官方旗舰店
联想（Lenovo）威6 Pro 英特尔酷睿 i7 14英寸轻薄窄边框笔记本(i7 8G 512GSSD 2G独显 一键登录)太空灰【PCIE固态硬盘1.5kg轻薄本】学生网课学习轻薄本、长待机、快速充电，指纹登陆,4799.00,联想扬天京东自营旗舰店
"ROG幻14 轻薄商务办公设计师14英寸2K屏笔记本电脑(锐龙R7-4800HS 8核 7nm 16G 512GSSD RTX2060MaxQ)经典白【9月21日ROG品牌钜惠】咨询客服下单有礼！搭载新锐龙R7-4800HS,8核,7nm处理器,指纹快捷解锁,晒单有礼详情咨询客服》",9969.00,玩家国度ROG京东自营官方旗舰店
联想(Lenovo)威6 Pro 英特尔酷睿 i5 13英寸轻薄窄边框笔记本电脑(i5 8G 512GSSD 2G独显 指纹登录)淡雅灰快充长续航，窄边框轻薄本，网课学习本、金属机身、指纹登陆、Type-C,3899.00,联想扬天京东自营旗舰店
京品电脑惠普（HP）战66 三代 14英寸轻薄笔记本电脑（i5-10210U 8G 512G  MX250 2G 高色域 一年上门+意外 2年电池）【9.3-9.25购买战66G3intel版评论晒单限量送HP无线耳机（详情咨询客服）】400尼特高色域屏，19项军标认证，超高性价比！活动详情,4899.00,惠普京东自营官方旗舰店
联想(Lenovo) Y9000X 拯救者 英特尔酷睿i7 15.6英寸手提超轻薄笔记本电脑游戏本 I7-9750H 16G内存 1TB大固态,7998.00,联想华北授权专卖店
联想小新15锐龙版 2020款15.6英寸大屏六核八核家用办公学生网课学习手提轻薄笔记本电脑 银色｜R7-4800U八核/16G/512G｜旗舰 正版office【嗨购9月开学季，领券再减600元，库存紧张欲购从速！】新品大屏爆款轻薄本！新7纳米锐龙六核/八核CPU，四面窄边框全面屏，颜值与实力并存！点击购买酷睿独显版,6299.00,联想众信授权专卖店
惠普（HP）光影精灵6 新十代酷睿标压 暗夜暗影电竞游戏笔记本电脑 旗舰店官网【2020款新品发售】 i5-10300H GTX1650Ti-4G 电竞 16G 512G PCIE【爆款规格】 15.抢600神券-惠普神券日【限时-高考生咨询客服再减30】【1650Ti新显卡+16G高频内存低至6199】跑车尾翼+双通道散热+RTX2060可选,6799.00,惠普授权旗舰店
华硕（ASUS)顽石V4000DA 14英寸 AMD锐龙R7 窄边框轻薄笔记本电脑 极光蓝 锐龙R7 8G 512G固态【秋高气爽】9月21日V4000DA限时狂欢，到手价低至3799，赠品包鼠送完即止，更支持白条3期免息让您省心购一夏详情咨询客服,3799.00,华硕电脑京东自营官方旗舰店
"15.6英寸 超簿本 轻薄本 笔记本电脑轻薄 超级本 学生网上课堂电脑 远程办公电脑 得峰笔记本电脑 银白色-超窄边框Intel-J3455/8G内存 爆款SSD128G固态硬盘满980-200限量券,热卖推荐,历史低价,买贵退差,12期免息,秒杀开抢,享晒单豪礼进店领取限量大额神券",1549.00,得峰旗舰店
戴尔DELL灵越5000 15.6英寸高性能轻薄笔记本电脑(十代i7-1065G7 32G 512GSSD MX330 2G独显)暗夜戴尔DELL灵越5000 15.6英寸高性能轻薄笔记本电脑(十代i7-1065G7 32G 512GSSD MX330 2G独显)暗夜,8499.00,戴尔京东自营官方旗舰店
苹果Apple MacBook Pro 2020款13.3英寸笔记本电脑超薄 轻薄本【原装正品】 灰色 20款 10代i7四核 16G 1TBSSD,17399.00,Apple爱豆专卖店
"得峰（Deffad） 15.6英寸窄边框低功耗 超极本 办公笔记本电脑 娱乐游戏学生 超轻薄本超级本 新款银色J4105-8G内存 SSD256G固态硬盘满980-200限量券,热卖推荐,历史低价,买贵退差,12期免息,秒杀开抢,享晒单豪礼进店领取限量大额神券",1767.00,得峰旗舰店
荣耀笔记本电脑MagicBook 15 15.6英寸全面屏轻薄本 (锐龙R5 16G 512G 多屏协同 指纹识别 Win10）银【荣耀猎人游戏本新品上市】限时特惠500元，十代酷睿i7标压处理器+RTX2060，16.1英寸144HZ电竞理想屏，升降式风谷散热【更多新品，立即查看】,4199.00,荣耀京东自营旗舰店
联想笔记本V14 六核R5锐龙版2020新品全新7mm 14英寸轻薄便携学生办公娱乐女生笔记本电脑 升级：R5-4500U 8G内存 256G固态 全国2年上门服务锐龙R5真六核丨PCIe高速固态硬盘丨1080PFHD全高清防眩光屏丨金属拉丝工艺精制大气丨高性价比升级十代I5版本劲爆到手价3999,3499.00,联想朗通金牌专营店
微软 Surface Laptop 3 超轻薄触控笔记本电脑 砂岩金 | 13.5英寸 十代酷睿i5 8G 256G SSD 金属材质键盘微软 Surface Laptop 3 超轻薄触控笔记本电脑 砂岩金 | 13.5英寸 十代酷睿i5 8G 256G SSD 金属材质键盘,9728.00,微软京东自营官方旗舰店
京品电脑宏碁(acer)Spin5 移动超能版 2K高清 3:2生产力 翻转触控 内置手写笔 DC调光 超轻薄 高性能 高色域 网课 商务办公 笔记本电脑(十代I5/16G/512SSD/深空灰)2K高清触控屏100%SRGB色域，360°自由翻转，Wacom手写笔，wifi6，双雷电3指纹识别，15小时长续航立即抢购,6599.00,宏碁京东自营旗舰店
联想笔记本V15 15.6英寸轻薄便携商务办公超极本双核大屏游戏娱乐学生家用手提笔记本电脑 定制【i3-1005G1 4G内存 128G固态】 15.6英寸 数字全键盘 2G独显 荣耀灰,2899.00,联想扬天航电授权专卖店
联想（Lenovo）小新PRO13 锐龙R5标压高性能轻薄笔记本电脑 2.5K高清屏学生办公用游戏本 定制丨R5 3550H 16G内存 256G固态  银色【助力网课学习，高效办公】AMD锐龙标压处理器，人脸解锁，16G大容量双通道内存，2.5K高分屏QHD，高色域DC调光查看小新13酷睿版本,4499.00,联想航电授权专卖店
Apple 2020新款 MacBook Air 13.3 Retina屏 十代i5 8G 512G SSD 银色 笔记本电脑 轻薄本 MVH42CH/A【火热9月】12期免息券每天抢~新款MacBook赠30天无忧试用，19年款MBP低至8499~赠多功能拓展坞~快来领取吧,9999.00,Apple产品京东自营旗舰店
华硕VivoBook15s 2020十代酷睿15.6英寸轻薄笔记本电脑学生办公手提 冰晶银 十代酷睿 8G 256G固态 MX330【9月华硕品牌钜惠狂欢】VivoBook15s限时抢购，轻薄本低至3299固态硬盘，约88%高屏占比，预装office,3299.00,华硕恩荣专卖店
"京品电脑微星(msi)冲锋坦克2 GL65 15.6英寸游戏笔记本电脑(十代i7 16G 512G SSD RTX2070Super 144Hz 高色域)【9月开学季爆款好价，搭载2070Super/十代i7,评价晒单赢E卡】真电竞七铜管散热模组！144Hz电竞屏，赛睿RGB键盘戳我",10499.00,微星游戏本京东自营官方旗舰店
惠普（hp）官方旗舰店 星14进阶版 十代酷睿 星13系列轻薄超薄商用手提学生女游戏笔记本电脑超极本 静谧银：【背光键盘版-十代2020新款】 爆款版：i...【抢600神券-惠普超品日】疯狂24小时-银色低至4599丨爆款版低至4999【金属本+白色背光键盘+进阶版】【新十代进阶+窄边框丨棱角分明】颜值进化论,5599.00,惠普授权旗舰店
华硕(ASUS) 天选 15.6英寸游戏笔记本电脑(新锐龙 7nm R5-4600H 8G 512GSSD GTX1650Ti 4G 144Hz)钛空灰,5999.00,华硕京东自营官方旗舰店
京品电脑机械师T58-V 全面屏游戏本十代i7-10750H/GTX1650/1650Ti独显游戏笔记本电脑 加强版1650/16G/512G高速固态+1TB【21号秒杀，抢600元券，到手价低至5799元】GTX1650/1650Ti两种显卡、全面屏、83%屏占比、双风扇四铜管、立体A壳、多彩背光键盘,7199.00,MACHENIKE机械师旗舰店
小米Pro增强版 2020款 15.6英寸金属轻薄(第十代英特尔酷睿i5-10210U 8G 512GB PCIE SSD MX250 2G独显 100%sRGB 指纹识别 Office) 灰色100%sRGB高色域、全新十代英特尔酷睿处理器、康宁玻璃全贴合窄边框、高端商务轻薄、全尺寸背光键盘更多爆款,5299.00,小米京东自营旗舰店
"戴尔DELL成就5000 13.3英寸窄边框轻薄笔记本电脑(十代i7-10510U 8G 512G SSD MX250 2G独显)银十代酷睿处理器,薄至14.9mm,三边窄,72高色域,MX250,2G独显,512G固态硬盘,2年上门。查看更多",5399.00,戴尔京东自营官方旗舰店
华硕a豆  adolbook14 2020 增强版 十代酷睿 14英寸高颜值全面屏超轻薄笔记本电脑 幻彩白 i5-10210U 16G 512G MX350【京东秒杀】9月21日14点-22日14点，adolbook14-2020千禧粉，十代酷睿i5，MX350独显，限时价4969，赠包鼠垫晒单有礼，详情快戳这里！,4999.00,adol官方旗舰店
联想小新15锐龙版 2020款15.6英寸大屏六核八核家用办公学生网课学习手提轻薄笔记本电脑 银色｜R5-4600U六核/16G/512G｜高配 正版office【嗨购9月开学季，领券再减600元，库存紧张欲购从速！】新品大屏爆款轻薄本！新7纳米锐龙六核/八核CPU，四面窄边框全面屏，颜值与实力并存！点击购买酷睿独显版,5299.00,联想众信授权专卖店
华硕(ASUS) 天选 15.6英寸游戏笔记本电脑(新锐龙 7nm R5-4600H 16G 512GSSD GTX1650Ti 4G 144Hz)元气蓝,6299.00,华硕京东自营官方旗舰店
"京品电脑戴尔DELL灵越7000英特尔酷睿轻薄本设计师 笔记本电脑 15.6英寸(十代标压i7 16G 1TSSD GTX1650Ti全面屏)高性能十代标压,强势升级16G大内存,GTX1650Ti性能更强悍,100%sRGB高色域全面屏,WiFi6+雷电3大文件倍速传输",8979.00,戴尔京东自营官方旗舰店
机械师（MACHENIKE）逐空T58竞技版 15.6英寸游戏本笔记本电脑（十代酷睿i7 8G 512G GTX1650Ti 4G）【开学必buy-开黑利器】GTX1650Ti显卡，6mm微边全面屏，83%屏占比，双风扇涡轮散热，多彩背光键盘。更多热卖爆款》,6199.00,机械师京东自营旗舰店
联想笔记本小新AIR14锐龙版六核R5 2020 潮7000 手提学生轻薄本办公商务本超薄笔记本电脑 标配：R5-4600U 16G 512G固态高色域开学倒计时！满2980立减300元【锐龙6核12线程为你撑腰！】高清屏幕，LOL游戏商务办公均可！【晒单100字可赠送无线鼠标】点击撩客服妹子(此商品不参加上述活动),4699.00,联想华北授权专卖店
新品小米Redmi G 16 GTX1650独显16g十代超轻薄红米拯救者电竞吃鸡游戏笔记本电脑手提 I5-10200H 16GB 512G 4G独显16.1英寸高色域144Hz高刷新率电竞大屏，GDDR6独立4G显存！双风扇，超强飓风散热。爆款猛戳,4999.00,小米瑞通专卖店
【锐龙2020款】惠普（hp）旗舰店 星系列 青春版 14英寸学生窄边框超轻薄笔记本电脑女游戏商务 全新r3-3250u ips 微边框【学生精选】 标准版：8g 512g pcie...【2020新品重磅首发-全新7nm+八核八线程低至4099】【星14-青春版-1.4Kg-IPS全高清】店长推荐-16G+512G旗舰版高配,3499.00,惠普授权旗舰店
苹果Apple MacBook Air 2020新款13.3英寸苹果笔记本电脑超薄轻薄本【原装正品】 银色 【2017款】i5/8G/128G 官方标配,5499.00,Apple爱豆专卖店
京品电脑LG gram20款17英寸 WQXGA 16:10 80Wh电池 十代酷睿i5-1035G7 16G 512GB 轻薄笔记本电脑银色17Z90N-V.AA65C【9.4-9.30购机晒单送100元E卡】17小时长续航，16G双通道内存快速读取，设计师的不二之选详情请戳：,8799.00,LG笔记本电脑京东自营旗舰店
戴尔（DELL）灵越5000燃5493轻薄本14英寸办公学生手提商用笔记本电脑 i3-1005G1 8GB 256G固态推荐定制 【十代新品】皓月银 高性能核显 高清屏【金秋开学特惠，领300神券下单立减】9月19-21日，灵越5493轻薄本，i3版限时秒杀到手价低至2999，购机赠包鼠礼包，更有晒单豪礼等您来！限时疯抢！,3399.00,戴尔速达专卖店
联想(Lenovo)拯救者Y7000 英特尔酷睿i7 游戏5Ghz新时代 15.6英寸游戏笔记本电脑(i7-10750H 16G 512G SSD GTX1650 100%sRGB)幻影黑即刻预约9.21日到手价6899元【Y7000P新品144Hz电竞屏新品上新，享白条3期免息，9.23日0点发售，现货有限售完即止】点击跳转新品推荐,6899.00,联想京东自营旗舰店
京品电脑惠普（HP）战66三代 AMD版15.6英寸轻薄笔记本电脑（锐龙7nm 六核R5-4500U 16G 512G 一年上门+意外2年电池）【9.3-9.25购买战66AMD版评论晒单限量送HP无线耳机（详情咨询客服）】19项军标认证，背光键盘+WIFI6，DDR4-3200内存，接口丰富！活动详情,4499.00,惠普京东自营官方旗舰店
宏碁（Acer）旗舰店 暗影骑士·擎 15.6英寸十代酷睿标压144Hz电竞屏手提游戏本笔记本电脑 十代i5-10300H/GTX1650钛 电竞版 爆款版：16G 512G SSD【电竞推荐】【非144Hz电竞屏不游戏】【宏碁超品日丨9月19日-21日-抢500券低至6299】【10代标压+1650钛+RGB四色背光键盘】高考学生再减50元,7099.00,Acer宏碁旗舰店
联想(Lenovo) Y9000X 拯救者 英特尔酷睿i7 15.6英寸手提超轻薄笔记本电脑游戏本 I7-9750H 16G内存 1TB大固态,7998.00,联想华北授权专卖店
小米Air 13.3英寸 网课学习 全金属超轻薄(英特尔酷睿i7 8G 512G PCIe SSD MX250 2G显存 72%NTSC Office 指纹版)游戏 银 手提 笔记本电脑时尚轻薄、512GPCIe固态硬盘、高色域全高清屏、全贴合无边式玻璃覆盖更多爆款,5499.00,小米京东自营旗舰店
机械革命（MECHREVO）S2 14英寸 100% sRGB(十代英特尔i5-10210U 8G 512G MX350 ) 银 轻薄设计笔记本电脑【机械革命轻薄本钜惠放“价”啦】100%sRGB高色域，十代四核i5酷睿处理器，背光键盘，渲染性能提升30%，秒杀价3999元更多活动,3999.00,机械革命京东自营官方旗舰店
华硕（ASUS）VivoBook14 十代酷睿 2020新品14英寸轻薄本笔记本电脑预装office i5-10210U 8G 512G固态 独显 蓝【秋高气爽】9月21日0点-24点，VivoBook14黑色i5-10210U配置新秋狂欢，到手价低至4399，赠品包鼠送完即止点击选新品~,4399.00,华硕电脑京东自营官方旗舰店
微软 Surface Laptop 3 超轻薄触控笔记本电脑 亮铂金 | 13.5英寸 十代酷睿i5 8G 128G SSD 欧缔兰键盘微软 Surface Laptop 3 超轻薄触控笔记本电脑 亮铂金 | 13.5英寸 十代酷睿i5 8G 128G SSD 欧缔兰键盘,7888.00,微软京东自营官方旗舰店
华为(HUAWEI)MateBook X Pro 2020款 13.9英寸超轻薄全面屏笔记本电脑(十代酷睿i7 16G+512G 独显 3K触控)银9.23华为京东超级品牌日到手仅：9988元3K炫丽可触控全面屏|超轻薄金属机身|十代酷睿强劲性能更多精彩请点击,9999.00,华为京东自营官方旗舰店
联想笔记本V15 15.6英寸轻薄便携商务办公超极本双核大屏游戏娱乐学生家用手提笔记本电脑 定制【i3-1005G1 4G内存 128G固态】 15.6英寸 数字全键盘 2G独显 荣耀灰,2899.00,联想扬天航电授权专卖店
京品电脑惠普（HP）战66 三代 14英寸轻薄笔记本电脑（i5-10210U 8G 512G  MX250 2G 高色域 一年上门+意外 2年电池）【9.3-9.25购买战66G3intel版评论晒单限量送HP无线耳机（详情咨询客服）】400尼特高色域屏，19项军标认证，超高性价比！活动详情,4899.00,惠普京东自营官方旗舰店
三星（SAMSUNG）13.3英寸Galaxy Book Flex 2020款QLED触屏超轻薄二合一笔记本电脑(十代i5/16G/512G SSD)蓝【赠内胆包+鼠标，赠完即止！晒单赠100元E卡】点击咨询客服有礼！,10499.00,三星笔记本京东自营官方旗舰店
